Q1. 年齢を教えてください,Q2. 性別を教えてください,Q3. 現在の職種を教えてください,Q4. この仕事を受注したサービス・経路を教えてください（複数回答可）,Q5. その仕事を受注・開始した年を教えてください（西暦）,Q6. その仕事を受注・開始した月を教えてください,Q7. 仕事の主なカテゴリを教えてください,Q8. 具体的に行った仕事内容を教えてください,Q9. 契約・報酬の形式を教えてください,Q10. この仕事で受け取った報酬額を教えてください,Q11. 実際の作業時間を教えてください（合計）,Q12. 使用したAI・AIツールを教えてください（複数回答可）,Q13. その中で一番使ったAIを1つ教えてください,Q14. AIを何に使いましたか（複数回答可）,Q15. 仕事全体のうちAIが担った割合を教えてください,Q16. AIの出力を人間がどれくらい修正しましたか,Q17. もしAIがなければ、この仕事を受けましたか,Q18. クライアント側のAI利用ルールはどうでしたか,Q19. AI利用をクライアントに伝えましたか,Q20. 修正依頼の回数を教えてください（0回を含む）,Q21. その仕事の結果はどうなりましたか,Q22. また同じような仕事を受けたいと思いますか,Q23. 最後に、ご意見・ご感想がありましたらご自由にお書きください
60代,女性,自営業,クラウドワークス,2024,7月,リサーチ・情報収集,企業ブログ用の記事を構成案から執筆しました,時間単価制,"5,001〜10,000円",1〜3時間,Claude、ChatGPT、Midjourney,ChatGPT,構成案・アウトライン作成、文章の下書き作成、アイデア出し、議事録の整理,26〜50%,少し修正した,受けなかった,ルールなし・不明,伝えていない,2回,問題なく完了した,あまり受けたくない,思ったより修正に時間がかかりました
40代,女性,自営業,その他のクラウドソーシング,2024,5月,資料作成,競合サービスの調査レポートをまとめました,固定報酬制,"〜5,000円",1〜3時間,ChatGPT、Midjourney,ChatGPT,構成案・アウトライン作成,76〜99%,少し修正した,受けたが時間がかかった,AI利用に条件あり,伝えていない,1回,高評価だった,どちらとも言えない,使い方を覚えるまでは逆に時間がかかりました
40代,男性,会社員（副業として）,クラウドワークス、ココナラ,2025,9月,ライティング・記事作成,英語のマニュアルを日本語に翻訳しました,時間単価制,"5,001〜10,000円",10〜20時間,ChatGPT、Gemini、NotebookLM,ChatGPT,文章の下書き作成、構成案・アウトライン作成、リサーチ・情報収集,1〜25%,大幅に修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,2回,高評価だった,あまり受けたくない,単価が下がってきている気がして複雑です
20代,女性,主婦・主夫,クラウドワークス,2025,2月,翻訳,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"5,001〜10,000円",3〜5時間,Canva AI,Canva AI,リサーチ・情報収集、校正・推敲、文章の下書き作成,76〜99%,大幅に修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,4回以上,問題なく完了した,受けてもよい,
40代,男性,主婦・主夫,クラウドワークス、ランサーズ,2025,8月,ライティング・記事作成,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"100,001円以上",1〜3時間,Gemini、ChatGPT,ChatGPT,文章の下書き作成,76〜99%,少し修正した,受けなかった,ルールなし・不明,伝えていない,4回以上,修正が多かった,受けたくない,作業時間は体感で半分くらいになりました
40代,男性,主婦・主夫,ランサーズ、直接契約,2025,7月,動画編集,SNS投稿用の短文を50本作成しました,固定報酬制,"10,001〜30,000円",5〜10時間,ChatGPT、Claude、Gemini,Gemini,リサーチ・情報収集、翻訳、アイデア出し、キャッチコピー案の作成,51〜75%,ほぼ書き直した,受けなかった,AI利用に条件あり,聞かれたら答えた,2回,高評価だった,受けてもよい,単価が下がってきている気がして複雑です
20代,女性,主婦・主夫,知人からの紹介,2024,6月,ライティング・記事作成,SNS投稿用の短文を50本作成しました,固定報酬制,"50,001〜100,000円",10〜20時間,ChatGPT、Copilot、Perplexity、Gemini,Gemini,文章の下書き作成、議事録の整理、構成案・アウトライン作成,26〜50%,少し修正した,受けたが時間がかかった,AI利用可,伝えていない,4回以上,高評価だった,ぜひ受けたい,専門用語の誤りが多く、そのままでは使えませんでした
50代,回答しない,会社員（副業として）,クラウドワークス、直接契約,2025,12月,翻訳,企業ブログ用の記事を構成案から執筆しました,タスク形式,"〜5,000円",10〜20時間,Gemini、Claude,Claude,文章の下書き作成、要約、アイデア出し、校正・推敲,76〜99%,大幅に修正した,受けたが時間がかかった,AI利用禁止,伝えていない,1回,修正が多かった,ぜひ受けたい,
60代,女性,フリーランス,知人からの紹介,2025,10月,ライティング・記事作成,既存記事のリライトと見出しの調整を行いました,コンペ形式,"5,001〜10,000円",〜1時間,NotebookLM、Perplexity、ChatGPT、Canva AI,Perplexity,アイデア出し、文章の下書き作成、要約,1〜25%,少し修正した,受けたが時間がかかった,AI利用に条件あり,伝えた,0回,問題なく完了した,ぜひ受けたい,
60代,女性,フリーランス,クラウドワークス、ランサーズ,2025,3月,リサーチ・情報収集,SNS投稿用の短文を50本作成しました,時間単価制,"5,001〜10,000円",3〜5時間,Claude,Claude,要約、構成案・アウトライン作成、キャッチコピー案の作成、文章の下書き作成,26〜50%,半分程度修正した,受けたが時間がかかった,AI利用禁止,伝えていない,2回,問題なく完了した,受けてもよい,作業時間は体感で半分くらいになりました
30代,女性,自営業,ココナラ,2024,4月,動画編集,SNS投稿用の短文を50本作成しました,固定報酬制,"10,001〜30,000円",3〜5時間,NotebookLM、Gemini、ChatGPT、Claude,Gemini,アイデア出し、校正・推敲、文章の下書き作成,51〜75%,大幅に修正した,変わらず受けた,ルールなし・不明,伝えていない,4回以上,問題なく完了した,受けてもよい,下調べの時間が減った分、推敲に時間を回せました
40代,女性,主婦・主夫,クラウドワークス,2025,7月,ライティング・記事作成,英語のマニュアルを日本語に翻訳しました,固定報酬制,"30,001〜50,000円",20時間以上,Gemini、Copilot,Gemini,リサーチ・情報収集、翻訳、文章の下書き作成、要約,26〜50%,少し修正した,変わらず受けた,AI利用可,伝えていない,4回以上,高評価だった,受けてもよい,納品物の最終責任は自分にあると強く感じます
50代,男性,主婦・主夫,SNS経由、クラウドワークス,2025,1月,ライティング・記事作成,アンケートの自由記述を分類して集計しました,固定報酬制,"5,001〜10,000円",3〜5時間,ChatGPT、Perplexity、Gemini、Midjourney,Gemini,リサーチ・情報収集、コード生成,26〜50%,ほとんど修正していない,わからない,ルールなし・不明,伝えていない,0回,問題なく完了した,どちらとも言えない,
20代,女性,会社員（本業として）,知人からの紹介,2024,5月,画像・イラスト制作,社内マニュアルのたたき台を作成しました,固定報酬制,"10,001〜30,000円",20時間以上,ChatGPT,ChatGPT,議事録の整理、翻訳、アイデア出し、文章の下書き作成,1〜25%,少し修正した,受けなかった,AI利用可,聞かれたら答えた,0回,高評価だった,受けてもよい,事実確認は結局自分でやる必要があります
40代,女性,会社員（副業として）,クラウドワークス,2025,1月,ライティング・記事作成,SNS投稿用の短文を50本作成しました,固定報酬制,"10,001〜30,000円",1〜3時間,Claude、Gemini,Claude,要約、校正・推敲、コード生成、画像生成,76〜99%,大幅に修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,2回,高評価だった,どちらとも言えない,専門用語の誤りが多く、そのままでは使えませんでした
30代,男性,主婦・主夫,クラウドワークス、ココナラ,2024,8月,データ入力・リスト作成,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"5,001〜10,000円",3〜5時間,ChatGPT、Stable Diffusion,ChatGPT,翻訳、議事録の整理、文章の下書き作成、構成案・アウトライン作成,26〜50%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,1回,問題なく完了した,受けてもよい,特になし
40代,女性,パート・アルバイト,クラウドワークス、SNS経由,2024,6月,ライティング・記事作成,英語のマニュアルを日本語に翻訳しました,固定報酬制,"100,001円以上",1〜3時間,ChatGPT,ChatGPT,リサーチ・情報収集、その他（関数の作成、テスト項目の洗い出し）、文章の下書き作成,76〜99%,半分程度修正した,わからない,AI利用可,聞かれたら答えた,0回,修正が多かった,あまり受けたくない,
50代,女性,会社員（本業として）,クラウドワークス,2025,12月,音声の文字起こし,社内マニュアルのたたき台を作成しました,固定報酬制,"10,001〜30,000円",3〜5時間,Felo、Canva AI、Copilot,Copilot,文章の下書き作成、表・データの整理、キャッチコピー案の作成,76〜99%,大幅に修正した,変わらず受けた,AI利用に条件あり,聞かれたら答えた,2回,問題なく完了した,受けてもよい,文章の型が単調になりやすいので手を入れています
60代,女性,学生,クラウドワークス、SNS経由,2025,9月,ライティング・記事作成,競合サービスの調査レポートをまとめました,固定報酬制,"〜5,000円",5〜10時間,Copilot、Gemini,Gemini,構成案・アウトライン作成、要約、画像生成、文章の下書き作成,26〜50%,半分程度修正した,わからない,AI利用禁止,伝えていない,1回,契約解除・不採用になった,どちらとも言えない,なし
20代,男性,フリーランス,ココナラ、クラウドワークス,2025,9月,翻訳,社内マニュアルのたたき台を作成しました,固定報酬制,"5,001〜10,000円",5〜10時間,Midjourney、ChatGPT,ChatGPT,文章の下書き作成、要約、校正・推敲,51〜75%,半分程度修正した,受けなかった,ルールなし・不明,伝えていない,2回,問題なく完了した,受けてもよい,たたき台づくりが速くなり、納期に余裕が持てました
40代,女性,無職・求職中,ココナラ,2025,11月,ライティング・記事作成,社内マニュアルのたたき台を作成しました,固定報酬制,"〜5,000円",10〜20時間,Gemini,Gemini,構成案・アウトライン作成、翻訳、リサーチ・情報収集、文章の下書き作成,51〜75%,少し修正した,受けたが時間がかかった,AI利用に条件あり,伝えた,1回,問題なく完了した,どちらとも言えない,特になし
20代,女性,フリーランス,直接契約、クラウドワークス,2023,12月,プログラミング,問い合わせ対応用のテンプレート文を整備しました,固定報酬制,"5,001〜10,000円",3〜5時間,Claude、ChatGPT、Stable Diffusion、Gemini,ChatGPT,文章の下書き作成,26〜50%,少し修正した,変わらず受けた,ルールなし・不明,聞かれたら答えた,1回,修正が多かった,ぜひ受けたい,納品物の最終責任は自分にあると強く感じます
30代,男性,自営業,クラウドワークス、SNS経由,2023,2月,データ入力・リスト作成,プレスリリースの下書きを作成しました,時間単価制,"10,001〜30,000円",3〜5時間,ChatGPT,ChatGPT,文章の下書き作成、翻訳、校正・推敲,1〜25%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,聞かれたら答えた,4回以上,問題なく完了した,受けてもよい,単価が下がってきている気がして複雑です
20代,女性,フリーランス,クラウドワークス,2024,2月,ライティング・記事作成,社内マニュアルのたたき台を作成しました,タスク形式,"50,001〜100,000円",5〜10時間,Gemini、Perplexity,Perplexity,文章の下書き作成、要約,1〜25%,ほぼ書き直した,受けなかった,AI利用可,伝えた,0回,問題なく完了した,どちらとも言えない,たたき台づくりが速くなり、納期に余裕が持てました
40代,女性,自営業,クラウドワークス、その他のクラウドソーシング,2025,1月,ライティング・記事作成,動画の字幕とテロップ用テキストを作成しました,固定報酬制,"50,001〜100,000円",1〜3時間,Felo、Perplexity、Copilot、ChatGPT,Copilot,構成案・アウトライン作成、アイデア出し、文章の下書き作成、リサーチ・情報収集,51〜75%,少し修正した,受けたが時間がかかった,ルールなし・不明,わからない,2回,問題なく完了した,どちらとも言えない,
30代,女性,自営業,クラウドワークス、知人からの紹介,2024,11月,翻訳,SNS投稿用の短文を50本作成しました,固定報酬制,"5,001〜10,000円",〜1時間,ChatGPT、Claude、NotebookLM,NotebookLM,文章の下書き作成,76〜99%,大幅に修正した,受けたが時間がかかった,AI利用可,聞かれたら答えた,1回,高評価だった,ぜひ受けたい,納品物の最終責任は自分にあると強く感じます
40代,女性,自営業,クラウドワークス、直接契約,2023,3月,翻訳,アンケートの自由記述を分類して集計しました,タスク形式,"5,001〜10,000円",3〜5時間,ChatGPT、NotebookLM,ChatGPT,文章の下書き作成,51〜75%,半分程度修正した,受けたが時間がかかった,ルールなし・不明,伝えた,4回以上,問題なく完了した,ぜひ受けたい,特になし
20代,男性,主婦・主夫,SNS経由、クラウドワークス,2023,7月,画像・イラスト制作,表計算の集計マクロを作成しました,固定報酬制,"5,001〜10,000円",3〜5時間,Gemini,Gemini,リサーチ・情報収集,26〜50%,少し修正した,受けたが時間がかかった,AI利用に条件あり,伝えていない,1回,問題なく完了した,受けてもよい,作業時間は体感で半分くらいになりました
30代,男性,会社員（本業として）,ランサーズ、知人からの紹介,2025,4月,翻訳,社内マニュアルのたたき台を作成しました,時間単価制,"10,001〜30,000円",3〜5時間,Gemini、ChatGPT、Claude,ChatGPT,リサーチ・情報収集,1〜25%,少し修正した,受けたが時間がかかった,ルールなし・不明,伝えていない,1回,高評価だった,受けてもよい,単価が下がってきている気がして複雑です
20代,女性,無職・求職中,クラウドワークス、ランサーズ,2024,5月,Web制作・コーディング,求人原稿の作成と校正を行いました,タスク形式,"〜5,000円",10〜20時間,ChatGPT、Midjourney、Gemini、Copilot,Gemini,アイデア出し,1〜25%,大幅に修正した,受けたが時間がかかった,AI利用に条件あり,聞かれたら答えた,2回,契約解除・不採用になった,ぜひ受けたい,作業時間は体感で半分くらいになりました
50代,女性,自営業,ココナラ,2023,6月,音声の文字起こし,問い合わせ対応用のテンプレート文を整備しました,時間単価制,"30,001〜50,000円",3〜5時間,ChatGPT、Copilot,Copilot,アイデア出し、要約、文章の下書き作成、構成案・アウトライン作成,100%,ほとんど修正していない,受けたが時間がかかった,AI利用可,聞かれたら答えた,2回,問題なく完了した,受けてもよい,文章の型が単調になりやすいので手を入れています
20代,女性,学生,クラウドワークス、ランサーズ,2025,8月,ライティング・記事作成,社内マニュアルのたたき台を作成しました,固定報酬制,"100,001円以上",3〜5時間,Copilot,Copilot,画像生成,26〜50%,ほぼ書き直した,変わらず受けた,AI利用禁止,伝えた,4回以上,契約解除・不採用になった,ぜひ受けたい,なし
50代,男性,フリーランス,クラウドワークス,2025,4月,ライティング・記事作成,企業ブログ用の記事を構成案から執筆しました,固定報酬制,"5,001〜10,000円",1〜3時間,Claude、ChatGPT、NotebookLM、Copilot,ChatGPT,リサーチ・情報収集、構成案・アウトライン作成,51〜75%,半分程度修正した,変わらず受けた,AI利用可,伝えた,1回,高評価だった,受けてもよい,単価が下がってきている気がして複雑です
